AVG_PRICE,NUM_TRANSACTIONS,AVG_PPSF,AVG_AGE,AVG_PRICE_MULTIPLE,zip,grade,latitude,longitude,caprate_nominal,cbd_distance,commute_time_mean,crime_rate_quintile,establishments_office_pct,homeownership_rate,population_density,walk_score_description,housing_affordability_quintile,coli,demographics_senior,health_care_system
7150000.0,2,76.252019386,11.0,,75212,B-,32.7812459,-96.8788308,0.06393484,4.7704182,23.4544718,Very Safe,0.09280742,0.5532973,2783.42140515,Somewhat Walkable,Very Cheap,83312.3509314,38.99467013,44.49523487
40341836.73468571,7,196.598026918,13.571429,12.06587334065,75203,B-,32.7468232,-96.802681,0.06393484,2.25289427,30.92727696,Very Safe,0.2122449,0.33168173,3104.64065221,Somewhat Walkable,Very Cheap,83312.3509314,38.99467013,44.49523487
40557730.99353571,14,326.964043725,32.285714,1.0085455843,75206,A,32.8312792,-96.7711909,0.04605846,4.06030261,22.10758463,Safe,0.425625,0.23204612,9060.32617993,Somewhat Walkable,Expensive,83312.3509314,38.99467013,44.49523487
5860000.0,1,125.761867971,9.0,,75210,C+,32.7706348,-96.7463621,0.06685629,2.91909178,37.43727189,Very Safe,0.1375,0.36225212,2837.70485285,Somewhat Walkable,Very Cheap,83312.3509314,38.99467013,44.49523487
18178622.36,2,141.909620297,57.0,2.37272973905,75216,B-,32.7113237,-96.7812147,0.06393484,4.60699468,28.69962521,Very Safe,0.13448276,0.49568213,3627.79327749,Somewhat Walkable,Very Cheap,,,
12620000.0,1,493.991466708,7.0,,75215,B-,32.7506016,-96.7568463,0.06393484,2.65882714,22.21493302,Very Safe,0.16871166,0.30491687,2496.407036,Somewhat Walkable,Very Cheap,83312.3509314,38.99467013,44.49523487
31150000.0,2,190.345619181,5.5,1.0854545455,75208,B+,32.7531409,-96.8396133,0.05476009,2.90851109,24.28223614,Very Safe,0.24538259,0.51219334,4746.13948616,Somewhat Walkable,Neutral,83312.3509314,38.99467013,44.49523487
6203196.666666666,3,,61.666667,0.802474375,75214,A+,32.8284936,-96.7459684,0.0438213,4.78733126,23.88075166,Less Safe,0.36689655,0.54017397,4235.81418819,Somewhat Walkable,Very Expensive,83312.3509314,38.99467013,44.49523487
67702499.4925,4,250.578466323,10.25,4.0631394643,75204,A-,32.8021266,-96.7888529,0.04941315,1.82543654,22.31415324,Very Safe,0.42674139,0.17245966,13321.19494001,Somewhat Walkable,Neutral,83312.3509314,38.99467013,44.49523487
57700000.0,1,244.66465677,56.0,3.0691489362,75211,B-,32.7369857,-96.9078149,0.06393484,6.98720316,26.51294906,Very Safe,0.18453427,0.50570468,3891.72268901,Somewhat Walkable,Very Cheap,83312.3509314,38.99467013,44.49523487
75362326.4,2,255.882986831,27.0,1.1111111111,75201,A,32.7877583,-96.7994246,0.04605846,0.81851335,21.76746885,Very Safe,0.59165495,0.08818562,13151.07474855,Somewhat Walkable,Expensive,83312.3509314,38.99467013,44.49523487
